Subject,Event,Session,S2_Condition,Valence,Arousal,Detail,Regret,Control,Own_Eyes_P,Observer_P
1,Event #059,3,Baseline,3,3,3,4,2,4,2
1,Event #060,1,Remember,3,3,6,5,5,6,3
1,Event #060,3,Remember,2,4,5,6,5,5,2
1,Event #061,1,Observer,5,1,3,4,2,6,1
1,Event #061,3,Observer,4,2,2,1,3,3,2
1,Event #062,1,Baseline,3,3,5,2,2,5,2
1,Event #062,3,Baseline,2,5,4,4,2,4,3
1,Event #063,1,Remember,2,4,3,2,1,3,3
1,Event #063,3,Remember,2,5,4,4,2,3,2
1,Event #064,1,Baseline,3,4,2,3,3,4,3
1,Event #064,3,Baseline,2,4,4,5,4,3,2
1,Event #065,1,Baseline,3,2,2,2,1,4,2
1,Event #065,3,Baseline,3,3,3,3,2,3,2
1,Event #066,1,Better,4,1,2,1,1,3,3
1,Event #066,3,Better,4,1,2,2,2,3,1
1,Event #067,1,Baseline,4,2,2,3,3,5,2
1,Event #067,3,Baseline,3,3,2,4,4,4,3
1,Event #068,1,Worse,3,3,5,4,4,5,1
1,Event #068,3,Worse,2,3,5,3,3,4,4
1,Event #069,1,Worse,4,2,2,2,2,3,2
1,Event #069,3,Worse,3,3,2,4,2,2,2
1,Event #070,1,Remember,4,2,3,3,2,4,2
1,Event #070,3,Remember,3,3,4,4,5,4,3
1,Event #071,1,Worse,3,2,3,2,2,5,2
1,Event #071,3,Worse,3,2,3,3,4,3,2
1,Event #072,1,Baseline,4,2,3,2,1,3,1
1,Event #072,3,Baseline,3,2,3,3,3,3,3
1,Event #073,1,Remember,4,1,2,2,3,3,1
1,Event #073,3,Remember,3,2,2,2,2,2,2
1,Event #074,1,Remember,3,3,3,3,4,4,2
1,Event #074,3,Remember,3,3,4,3,5,4,2
1,Event #075,1,Better,4,1,3,1,1,6,1
1,Event #075,3,Better,4,1,3,3,1,4,1
1,Event #076,1,Baseline,3,1,5,1,1,6,1
1,Event #076,3,Baseline,3,3,4,5,3,5,2
1,Event #077,1,Observer,2,3,3,3,2,5,3
1,Event #077,3,Observer,2,4,4,5,3,4,3
1,Event #078,1,Remember,3,2,4,3,3,5,2
1,Event #078,3,Remember,2,3,4,3,3,3,2
1,Event #079,1,Observer,3,2,5,3,2,6,1
1,Event #079,3,Observer,3,2,3,3,2,4,2
1,Event #080,1,Better,3,2,4,2,1,4,2
1,Event #080,3,Better,3,2,3,4,2,3,2
1,Event #081,1,Worse,4,3,3,4,2,4,2
1,Event #081,3,Worse,3,2,4,5,2,3,3
1,Event #082,1,Better,4,2,4,3,1,4,2
1,Event #082,3,Better,3,3,3,5,1,3,2
1,Event #083,1,Remember,5,1,5,2,2,6,1
1,Event #083,3,Remember,4,2,3,1,3,5,2
1,Event #084,1,Remember,4,2,5,5,3,6,1
1,Event #084,3,Remember,3,4,4,4,4,4,3
1,Event #085,1,Baseline,2,5,5,5,2,5,3
1,Event #085,3,Baseline,1,5,4,5,2,5,3
1,Event #086,1,Remember,4,1,5,2,1,5,3
1,Event #086,3,Remember,4,2,3,4,1,3,2
1,Event #087,1,Better,3,2,6,2,1,5,2
1,Event #087,3,Better,3,2,2,4,2,3,2
1,Event #088,1,Observer,4,1,2,2,2,3,1
1,Event #088,3,Observer,4,2,1,2,2,3,2
1,Event #089,1,Remember,3,2,3,1,1,4,2
1,Event #089,3,Remember,3,2,3,1,2,4,2
1,Event #090,1,Worse,3,4,4,3,3,4,3
1,Event #090,3,Worse,2,4,3,4,3,3,2
1,Event #091,1,Observer,5,1,5,2,4,4,2
1,Event #091,3,Observer,5,2,2,1,3,3,2
1,Event #092,1,Observer,2,2,3,3,2,3,1
1,Event #092,3,Observer,3,3,3,4,2,4,2
1,Event #093,1,Worse,4,1,4,2,2,4,1
1,Event #093,3,Worse,4,2,3,3,4,4,2
1,Event #094,1,Baseline,3,2,3,3,2,5,2
1,Event #094,3,Baseline,2,2,3,6,3,4,2
1,Event #095,1,Worse,4,2,3,2,2,4,3
1,Event #095,3,Worse,4,2,4,2,3,3,2
1,Event #096,1,Better,5,1,3,2,2,3,3
1,Event #096,3,Better,4,1,2,2,3,2,2
1,Event #097,1,Baseline,4,2,2,2,1,2,3
1,Event #097,3,Baseline,4,1,2,1,1,2,2
1,Event #098,1,Worse,3,3,2,3,2,2,2
1,Event #098,3,Worse,3,3,2,4,1,3,2
1,Event #099,1,Better,3,1,3,1,1,3,2
1,Event #099,3,Better,3,2,3,3,1,4,2
1,Event #100,1,Better,2,3,3,3,2,4,1
1,Event #100,3,Better,2,5,4,4,3,4,2
1,Event #101,1,Worse,4,2,4,2,2,5,1
1,Event #101,3,Worse,3,3,4,3,4,4,2
1,Event #102,1,Worse,3,3,3,3,4,3,4
1,Event #102,3,Worse,3,3,2,5,4,3,2
1,Event #103,1,Baseline,3,3,4,2,3,5,2
1,Event #103,3,Baseline,2,5,3,4,4,5,3
1,Event #104,1,Worse,3,1,7,5,5,7,1
1,Event #104,3,Worse,3,2,5,2,2,5,1
1,Event #105,1,Observer,5,2,2,1,1,3,2
1,Event #105,3,Observer,4,3,3,2,2,3,2
1,Event #106,1,Observer,3,4,3,6,3,5,2
1,Event #106,3,Observer,2,4,3,5,2,4,3
1,Event #107,1,Observer,4,2,3,5,2,4,3
1,Event #107,3,Observer,4,3,3,2,3,4,3
1,Event #108,1,Baseline,5,2,2,3,2,3,4
1,Event #108,3,Baseline,4,3,2,2,2,3,2
1,Event #109,1,Better,3,2,2,3,2,4,3
1,Event #109,3,Better,3,3,2,3,2,4,3
1,Event #110,1,Baseline,4,1,3,4,1,2,2
1,Event #110,3,Baseline,4,2,2,3,1,3,2
1,Event #111,1,Better,3,2,2,5,2,3,2
1,Event #111,3,Better,3,4,3,4,2,3,4
1,Event #112,1,Remember,4,1,2,2,1,1,2
1,Event #112,3,Remember,3,1,2,4,1,3,2
1,Event #113,1,Baseline,5,1,3,3,2,5,2
1,Event #113,3,Baseline,5,2,3,2,3,4,2
1,Event #114,1,Better,4,2,3,3,1,3,1
1,Event #114,3,Better,3,2,2,2,2,3,3
1,Event #115,1,Remember,4,2,2,4,3,3,1
1,Event #115,3,Remember,4,3,2,4,3,4,2
1,Event #116,1,Worse,3,2,3,2,2,4,1
1,Event #116,3,Worse,3,2,2,3,2,3,3
1,Event #117,1,Baseline,4,3,3,3,2,5,3
1,Event #117,3,Baseline,3,3,3,4,3,4,2
1,Event #118,1,Baseline,4,2,2,2,2,3,1
1,Event #118,3,Baseline,4,2,2,2,2,3,2
1,Event #119,1,Worse,4,2,3,2,1,5,2
1,Event #119,3,Worse,3,3,4,3,3,4,2
1,Event #120,1,Remember,3,2,2,2,2,3,1
1,Event #120,3,Remember,4,1,3,4,2,4,2
2,Event #001,1,Baseline,5,3,6,2,6,6,1
2,Event #001,3,Baseline,3,6,5,3,6,7,1
2,Event #003,1,Worse,3,2,6,2,5,6,1
2,Event #003,3,Worse,2,4,5,5,5,7,1
2,Event #004,1,Worse,4,2,6,2,6,6,1
2,Event #004,3,Worse,3,3,3,5,6,6,1
2,Event #005,1,Worse,3,1,6,2,6,6,1
2,Event #005,3,Worse,4,1,5,4,6,7,1
2,Event #006,1,Baseline,3,1,6,1,2,6,1
2,Event #006,3,Baseline,4,2,3,4,2,7,1
2,Event #007,1,Better,4,2,6,3,3,6,1
2,Event #007,3,Better,2,3,6,6,5,7,1
2,Event #008,1,Observer,4,2,6,1,1,6,1
2,Event #008,3,Observer,4,1,4,5,1,7,1
2,Event #009,1,Baseline,4,2,6,1,1,6,1
2,Event #009,3,Baseline,4,5,4,5,2,7,2
2,Event #012,1,Remember,3,1,4,1,5,6,1
2,Event #012,3,Remember,4,1,2,1,6,7,1
2,Event #014,1,Worse,3,1,5,1,3,6,1
2,Event #014,3,Worse,4,1,3,1,4,7,1
2,Event #015,1,Remember,3,1,6,1,1,6,1
2,Event #015,3,Remember,4,1,6,1,1,7,1
2,Event #016,1,Remember,3,1,4,1,1,6,1
2,Event #016,3,Remember,3,1,3,1,2,7,1
2,Event #018,1,Baseline,4,2,4,2,7,6,1
2,Event #018,3,Baseline,3,3,6,5,7,7,1
2,Event #019,1,Better,3,1,5,1,1,5,2
2,Event #019,3,Better,4,1,5,2,1,7,1
2,Event #020,1,Baseline,3,1,4,1,1,6,1
2,Event #020,3,Baseline,4,1,4,1,1,7,1
2,Event #021,1,Worse,4,1,3,3,4,5,2
2,Event #021,3,Worse,3,2,1,3,7,7,1
2,Event #024,1,Remember,3,4,6,3,3,4,3
2,Event #024,3,Remember,3,6,6,3,5,2,6
2,Event #025,1,Observer,4,4,6,2,5,6,1
2,Event #025,3,Observer,5,5,6,2,1,6,2
2,Event #026,1,Baseline,2,2,5,3,4,6,1
2,Event #026,3,Baseline,3,6,5,4,5,3,5
2,Event #027,1,Baseline,2,2,5,3,7,4,3
2,Event #027,3,Baseline,2,5,5,5,7,6,2
2,Event #028,1,Remember,3,1,4,1,2,6,1
2,Event #028,3,Remember,4,1,2,1,1,7,1
2,Event #029,1,Remember,3,1,4,1,1,5,2
2,Event #029,3,Remember,4,1,3,3,1,7,1
2,Event #031,1,Baseline,3,1,4,2,2,6,1
2,Event #031,3,Baseline,3,3,6,6,1,7,1
2,Event #033,1,Baseline,3,1,3,2,6,6,1
2,Event #033,3,Baseline,4,1,3,5,7,4,4
2,Event #035,1,Baseline,3,1,6,1,3,6,1
2,Event #035,3,Baseline,3,6,4,3,4,7,1
2,Event #036,1,Observer,4,1,6,1,7,6,1
2,Event #036,3,Observer,4,1,3,1,6,6,2
2,Event #037,1,Baseline,4,1,4,4,7,6,1
2,Event #037,3,Baseline,3,2,4,5,7,6,2
2,Event #038,1,Remember,5,1,6,1,7,6,1
2,Event #038,3,Remember,4,1,2,1,7,7,1
2,Event #039,1,Worse,4,1,4,1,2,6,1
2,Event #039,3,Worse,4,3,4,1,3,5,3
2,Event #041,1,Worse,3,1,5,2,6,6,1
2,Event #041,3,Worse,4,4,4,6,6,7,1
2,Event #042,1,Worse,4,1,5,1,2,6,1
2,Event #042,3,Worse,4,2,2,1,2,6,2
2,Event #044,1,Observer,4,1,5,2,1,6,1
2,Event #044,3,Observer,4,1,6,6,1,7,1
2,Event #048,1,Observer,4,1,5,1,5,6,1
2,Event #048,3,Observer,4,1,2,1,6,7,1
2,Event #049,1,Better,4,1,5,1,2,6,1
2,Event #049,3,Better,4,1,6,1,4,3,5
2,Event #051,1,Remember,4,1,6,1,6,5,2
2,Event #051,3,Remember,4,1,6,1,6,2,6
2,Event #053,1,Baseline,4,1,6,1,6,6,1
2,Event #053,3,Baseline,6,2,5,1,7,2,6
2,Event #054,1,Remember,2,5,6,1,6,6,1
2,Event #054,3,Remember,5,7,6,1,5,5,4
2,Event #055,1,Observer,2,4,6,1,6,5,2
2,Event #055,3,Observer,6,6,6,1,6,3,5
2,Event #056,1,Better,4,1,5,1,3,6,1
2,Event #056,3,Better,4,1,4,1,5,5,3
2,Event #057,1,Baseline,4,1,5,1,6,6,1
2,Event #057,3,Baseline,4,2,3,2,6,7,1
2,Event #058,1,Baseline,4,1,5,1,1,6,1
2,Event #058,3,Baseline,4,2,5,2,2,7,1
2,Event #059,1,Better,4,1,5,1,7,6,1
2,Event #059,3,Better,2,1,3,5,7,7,1
2,Event #060,1,Baseline,4,1,5,1,7,6,1
2,Event #060,3,Baseline,2,6,5,2,6,5,3
2,Event #061,1,Baseline,3,1,3,5,5,6,1
2,Event #061,3,Baseline,3,1,3,7,6,7,1
2,Event #062,1,Better,3,1,6,1,5,6,1
2,Event #062,3,Better,4,3,6,2,5,7,1
2,Event #063,1,Worse,2,2,6,5,3,6,1
2,Event #063,3,Worse,4,3,7,6,4,7,1
2,Event #064,1,Better,3,1,6,1,5,6,1
2,Event #064,3,Better,3,1,6,3,6,7,1
2,Event #065,1,Remember,3,3,5,5,7,6,1
2,Event #065,3,Remember,2,6,7,6,6,6,1
2,Event #066,1,Better,3,3,5,5,7,6,1
2,Event #066,3,Better,2,6,6,6,6,7,1
2,Event #067,1,Remember,3,2,5,5,1,6,1
2,Event #067,3,Remember,3,2,6,6,3,7,1
2,Event #068,1,Observer,5,2,6,1,5,7,0
2,Event #068,3,Observer,6,1,6,1,6,6,1
2,Event #069,1,Observer,3,3,5,2,5,5,2
2,Event #069,3,Observer,5,3,6,1,5,7,1
2,Event #070,1,Better,4,1,5,1,1,6,1
2,Event #070,3,Better,4,1,6,5,1,7,1
2,Event #071,1,Observer,2,4,5,5,5,6,1
2,Event #071,3,Observer,3,3,5,7,6,7,1
2,Event #072,1,Baseline,3,3,5,5,1,6,1
2,Event #072,3,Baseline,2,5,6,5,1,7,1
2,Event #073,1,Worse,3,4,5,4,4,6,1
2,Event #073,3,Worse,2,6,6,6,6,7,1
2,Event #074,1,Remember,5,1,5,2,3,6,1
2,Event #074,3,Remember,4,2,5,2,4,7,7
2,Event #075,1,Remember,5,1,3,1,3,6,1
2,Event #075,3,Remember,4,1,3,1,5,3,5
2,Event #076,1,Observer,,1,3,1,1,6,1
2,Event #076,3,Observer,4,5,3,2,1,6,2
2,Event #080,1,Better,5,1,5,1,1,6,1
2,Event #080,3,Better,4,2,6,3,3,5,2
2,Event #081,1,Better,5,1,5,1,1,6,1
2,Event #081,3,Better,4,1,7,5,1,7,1
2,Event #082,1,Observer,5,1,5,1,1,6,1
2,Event #082,3,Observer,4,1,3,1,1,7,1
2,Event #083,1,Better,5,1,5,1,1,6,1
2,Event #083,3,Better,4,3,6,3,1,7,1
2,Event #084,1,Remember,5,1,3,1,1,6,1
2,Event #084,3,Remember,4,1,4,4,2,7,1
2,Event #085,1,Baseline,1,6,5,3,1,6,2
2,Event #085,3,Baseline,3,6,6,1,1,5,3
2,Event #086,1,Remember,5,1,5,1,1,6,1
2,Event #086,3,Remember,3,1,5,5,1,7,1
2,Event #087,1,Worse,5,1,5,1,1,6,1
2,Event #087,3,Worse,4,1,2,2,1,7,1
2,Event #088,1,Observer,5,1,3,2,3,6,1
2,Event #088,3,Observer,2,2,4,6,6,6,2
2,Event #090,1,Observer,3,2,5,3,1,6,1
2,Event #090,3,Observer,3,5,5,2,3,7,1
2,Event #091,1,Worse,5,1,5,1,4,6,1
2,Event #091,3,Worse,4,1,4,1,1,7,1
2,Event #093,1,Observer,2,4,4,4,1,6,1
2,Event #093,3,Observer,3,4,4,4,3,7,1
2,Event #094,1,Remember,2,5,4,7,1,6,1
2,Event #094,3,Remember,2,5,6,7,1,7,1
2,Event #095,1,Worse,2,6,4,7,1,6,1
2,Event #095,3,Worse,2,6,6,7,1,7,1
2,Event #096,1,Better,2,6,4,5,7,6,1
2,Event #096,3,Better,2,6,7,4,7,7,1
2,Event #097,1,Worse,4,1,4,1,3,6,1
2,Event #097,3,Worse,4,3,2,1,6,7,1
