Subject	Event	Session	S2_Condition	Arousal	Detail
2	Event #012	2	Remember	4	3
2	Event #014	2	Worse	2	2
2	Event #015	2	Remember	1	4
2	Event #016	2	Remember		
2	Event #019	2	Better	1	4
2	Event #021	2	Worse	2	3
2	Event #024	2	Remember	5	3
2	Event #025	2	Observer	5	4
2	Event #028	2	Remember	1	3
2	Event #029	2	Remember	1	3
2	Event #036	2	Observer	4	3
2	Event #038	2	Remember	1	5
2	Event #039	2	Worse	2	4
2	Event #041	2	Worse	2	4
2	Event #042	2	Worse	1	4
2	Event #044	2	Observer	2	4
2	Event #048	2	Observer		2
2	Event #049	2	Better	1	3
2	Event #051	2	Remember	2	
2	Event #054	2	Remember	7	6
2	Event #055	2	Observer	4	2
2	Event #056	2	Better	1	3
2	Event #059	2	Better		3
2	Event #062	2	Better	3	3
2	Event #063	2	Worse	3	5
2	Event #064	2	Better	1	6
2	Event #065	2	Remember		3
2	Event #066	2	Better	5	4
2	Event #067	2	Remember	4	5
2	Event #068	2	Observer	1	5
2	Event #069	2	Observer	3	5
2	Event #070	2	Better		5
2	Event #071	2	Observer	4	5
2	Event #073	2	Worse	5	5
2	Event #074	2	Remember	2	4
2	Event #075	2	Remember	2	3
2	Event #076	2	Observer	1	2
2	Event #080	2	Better	1	2
2	Event #081	2	Better	2	5
2	Event #082	2	Observer	1	3
2	Event #083	2	Better	2	3
2	Event #084	2	Remember	1	3
2	Event #086	2	Remember	2	2
2	Event #087	2	Worse	4	4
2	Event #088	2	Observer	2	3
2	Event #090	2	Observer	4	5
2	Event #091	2	Worse	4	4
2	Event #093	2	Observer	3	3
2	Event #094	2	Remember	6	6
2	Event #095	2	Worse	6	
2	Event #096	2	Better	2	5
2	Event #097	2	Worse	2	3
2	Event #099	2	Worse	2	
2	Event #101	2	Better		5
2	Event #102	2	Observer	1	2
2	Event #103	2	Remember	1	6
2	Event #105	2	Better	2	3
2	Event #106	2	Better	3	3
2	Event #107	2	Observer	1	4
2	Event #108	2	Better	2	5
2	Event #109	2	Worse	6	6
2	Event #112	2	Worse	4	3
2	Event #114	2	Observer		3
2	Event #115	2	Better	1	4
2	Event #116	2	Worse	1	2
2	Event #118	2	Remember	1	5
2	Event #119	2	Observer	4	5
4	Event #001	2	Worse	6	6
4	Event #002	2	Better	6	6
4	Event #003	2	Better	2	3
4	Event #005	2	Worse	3	3
4	Event #006	2	Better	6	4
4	Event #007	2	Better	7	6
4	Event #008	2	Worse	5	5
4	Event #009	2	Worse	5	6
4	Event #010	2	Better	3	5
4	Event #011	2	Worse	4	5
4	Event #012	2	Worse	2	5
4	Event #013	2	Remember	5	5
4	Event #015	2	Remember	1	5
4	Event #016	2	Remember	5	7
4	Event #017	2	Better	6	6
4	Event #018	2	Worse	5	6
4	Event #019	2	Worse	6	6
4	Event #020	2	Remember	6	7
4	Event #021	2	Remember	5	6
4	Event #022	2	Better	5	6
4	Event #023	2	Remember	3	4
4	Event #024	2	Worse	4	6
4	Event #025	2	Worse	4	3
4	Event #028	2	Remember	4	5
4	Event #029	2	Observer	5	7
4	Event #030	2	Observer	4	5
4	Event #031	2	Remember	6	5
4	Event #032	2	Remember	2	6
4	Event #033	2	Worse	1	5
4	Event #034	2	Worse	2	6
4	Event #035	2	Observer	2	6
4	Event #036	2	Better	4	3
4	Event #038	2	Observer	2	6
4	Event #039	2	Remember	4	6
4	Event #040	2	Remember	7	6
4	Event #041	2	Observer	7	7
4	Event #042	2	Worse	5	6
4	Event #043	2	Better	2	3
4	Event #044	2	Better	5	3
4	Event #046	2	Better	4	5
4	Event #048	2	Better	5	5
4	Event #049	2	Worse	2	5
4	Event #050	2	Remember	4	5
4	Event #051	2	Remember	2	1
4	Event #052	2	Observer	4	5
4	Event #053	2	Remember	5	6
4	Event #054	2	Worse	6	5
4	Event #057	2	Remember	4	6
4	Event #058	2	Remember	5	5
4	Event #059	2	Observer	2	6
4	Event #060	2	Remember	3	
4	Event #061	2	Observer	2	5
4	Event #064	2	Observer	3	5
4	Event #065	2	Observer	2	4
4	Event #067	2	Worse	5	6
4	Event #068	2	Observer	4	5
4	Event #069	2	Observer	5	6
4	Event #070	2	Better	2	6
4	Event #071	2	Better	5	4
4	Event #072	2	Observer	5	2
4	Event #074	2	Observer	4	7
4	Event #075	2	Better	4	6
4	Event #077	2	Remember	7	5
4	Event #078	2	Observer	3	5
4	Event #081	2	Remember	5	
4	Event #082	2	Better	5	5
4	Event #083	2	Observer	4	5
4	Event #084	2	Worse	4	4
4	Event #085	2	Observer	1	5
4	Event #087	2	Better	2	3
4	Event #088	2	Observer	5	6
4	Event #089	2	Worse	6	6
4	Event #091	2	Remember	6	7
4	Event #092	2	Observer	5	6
4	Event #093	2	Worse	5	6
4	Event #094	2	Better	3	2
4	Event #095	2	Better	3	5
4	Event #098	2	Observer	5	5
4	Event #099	2	Worse	4	5
4	Event #100	2	Worse	5	2
4	Event #101	2	Better	4	3
4	Event #102	2	Worse	3	2
4	Event #103	2	Remember	2	6
4	Event #104	2	Observer	3	3
4	Event #105	2	Better	4	5
4	Event #106	2	Better	1	2
4	Event #108	2	Worse	2	6
4	Event #109	2	Observer	1	5
4	Event #110	2	Better	4	3
4	Event #111	2	Remember	2	5
4	Event #112	2	Observer	2	4
4	Event #114	2	Worse	7	5
4	Event #116	2	Better	2	3
4	Event #118	2	Observer	2	4
4	Event #119	2	Remember	2	6
4	Event #120	2	Remember	4	5
5	Event #001	2	Worse	5	6
5	Event #002	2	Observer	4	5
5	Event #003	2	Better	4	5
5	Event #004	2	Better	6	4
5	Event #005	2	Observer	2	7
5	Event #006	2	Observer	4	7
5	Event #007	2	Observer	3	5
5	Event #008	2	Better		5
5	Event #009	2	Worse	5	5
5	Event #011	2	Remember	1	4
5	Event #012	2	Better	2	5
5	Event #014	2	Better	7	7
5	Event #015	2	Better	6	3
5	Event #016	2	Remember	3	6
5	Event #017	2	Worse	4	5
